ענינא דיומא,Current(-ish) Events,Generic Dvar Torah topics
“...es kol divrei ha’igeres ha’zos…”,All hostages rescued from Gaza,Emunah
Mechias Amalek,Miraculous 12-day Iran war,Bitachon
Hester Panim,Bondi beach terrorist attack,ivdu es Hashem b’simcha
“HaMelech Achashveirosh…”,Record-high antisemitism in US,Chinuch HaBonim
Bigdei Malchus,Jewish murders at D.C. Museum,Shivim Panim l’Torah
Keilim from the Beis HaMikdash,Mamdani election in NYC,“…ma'ase Avos siman l'bonim…”
Mordechai HaYehudi,“No Kings” protests,Teshuva
Esther HaMalka,Longest US govt shutdown in history,Bein Adam l’Chaveiro
“…tzom u’bchi u’misped…”,Charlie Kirk assassination,Bein Adam l’Makom
“…sak va’efer yutzag la’rabim…”,Epstein files released,Hashgocho Protis
Mishloach Manos,Tariffs and counterruling by SCOTUS,Moshiach
Matanos L’evyonim,Price inflation everywhere,Anava
Achashveirosh’s Party,Measles no longer eradicated in US,Zerizus
“Ba’layla ha’hu…”,L.A. Palisades fire is costliest in history,Yissachar/Zevulun
Haman’s children,Antivaccine in government,“lo alecha haMelacha ligmor”
“…v’gam Charvona zachur la’tov…”,Coldplay kiss cam hilarity,“…v’heim osim cheshbonos rabos…”
“Al tidami b’nafshech…”,Artificial Intelligence going mainstream,Chibas ha’Aretz
"“Hipil Pur, hu haGoral…”",Artificial intelligence hallucinations,Kedushas Am Yisroel
Ad d’lo yada,AI-generated slop everywhere,HaKaras HaTov
** Achashveirosh’s FIRST letter (“...l’hiyos kol ish sorer b’veiso…”),** Housing policy,** Ma’aser sheni
